period,sex,age,initial_state,final_state,calibrated_probability
2010,male,10,3,4,0.0
2010,male,10,3,5,0.0
2010,male,10,4,4,1.0
2010,male,10,4,5,0.0
2010,female,11,0,0,1.0
2010,female,11,0,1,0.0
2010,female,11,0,4,0.0
2010,female,11,0,5,0.0
2010,female,11,1,0,0.0
2010,female,11,1,1,1.0
2010,female,11,1,2,0.0
2010,female,11,1,4,0.0
2010,female,11,1,5,0.0
2010,female,11,2,1,0.0
2010,female,11,2,2,1.0
2010,female,11,2,3,0.0
2010,female,11,2,4,0.0
2010,female,11,2,5,0.0
2010,female,11,3,2,0.0
2010,female,11,3,3,1.0
2010,female,11,3,4,0.0
2010,female,11,3,5,0.0
2010,female,11,4,4,1.0
2010,female,11,4,5,0.0
2010,male,11,0,0,1.0
2010,male,11,0,1,0.0
2010,male,11,0,4,0.0
2010,male,11,0,5,0.0
2010,male,11,1,0,0.0
2010,male,11,1,1,1.0
2010,male,11,1,2,0.0
2010,male,11,1,4,0.0
2010,male,11,1,5,0.0
2010,male,11,2,1,0.0
2010,male,11,2,2,1.0
2010,male,11,2,3,0.0
2010,male,11,2,4,0.0
2010,male,11,2,5,0.0
2010,male,11,3,2,0.0
2010,male,11,3,3,1.0
2010,male,11,3,4,0.0
2010,male,11,3,5,0.0
2010,male,11,4,4,1.0
2010,male,11,4,5,0.0
2010,female,12,0,0,1.0
2010,female,12,0,1,0.0
2010,female,12,0,4,0.0
2010,female,12,0,5,0.0
2010,female,12,1,0,0.0
2010,female,12,1,1,1.0
2010,female,12,1,2,0.0
2010,female,12,1,4,0.0
2010,female,12,1,5,0.0
2010,female,12,2,1,0.0
2010,female,12,2,2,1.0
2010,female,12,2,3,0.0
2010,female,12,2,4,0.0
2010,female,12,2,5,0.0
2010,female,12,3,2,0.0
2010,female,12,3,3,1.0
2010,female,12,3,4,0.0
2010,female,12,3,5,0.0
2010,female,12,4,4,1.0
2010,female,12,4,5,0.0
2010,male,12,0,0,1.0
2010,male,12,0,1,0.0
2010,male,12,0,4,0.0
2010,male,12,0,5,0.0
2010,male,12,1,0,0.0
2010,male,12,1,1,1.0
2010,male,12,1,2,0.0
2010,male,12,1,4,0.0
2010,male,12,1,5,0.0
2010,male,12,2,1,0.0
2010,male,12,2,2,1.0
2010,male,12,2,3,0.0
2010,male,12,2,4,0.0
2010,male,12,2,5,0.0
2010,male,12,3,2,0.0
2010,male,12,3,3,1.0
2010,male,12,3,4,0.0
2010,male,12,3,5,0.0
2010,male,12,4,4,1.0
2010,male,12,4,5,0.0
2010,female,13,0,0,1.0
2010,female,13,0,1,0.0
2010,female,13,0,4,0.0
2010,female,13,0,5,0.0
2010,female,13,1,0,0.0
2010,female,13,1,1,1.0
