age,initial_state,final_state,probability,mortality
111,2,5,0.893264481688,0.673295977509
112,2,5,0.912569697385,0.704313844397
113,2,5,0.928697665983,0.732975031098
114,2,5,0.941953287003,0.759071145363
115,2,5,0.952705691626,0.782527453746
116,2,5,0.961345730672,0.803393109663
117,2,5,0.968252112266,0.821820630448
118,2,5,0.973768268154,0.838037869098
119,2,5,0.978189622012,0.852316629276
65,3,5,0.548287908442,0.327904700538
66,3,5,0.501979995763,0.29429467606
67,3,5,0.459741907861,0.264977488685
68,3,5,0.422440062638,0.240026357456
69,3,5,0.390493420554,0.219290976454
70,3,5,0.36395717003,0.202477066179
71,3,5,0.342636169241,0.189220232887
72,3,5,0.326192343505,0.179142121622
73,3,5,0.314227761417,0.17188633716
74,3,5,0.306339323558,0.16713706023
75,3,5,0.302148848319,0.164625143016
76,3,5,0.301315041496,0.16412623052
77,3,5,0.303533678327,0.165454422052
78,3,5,0.308531088727,0.168453903098
79,3,5,0.316054677636,0.17299013164
80,3,5,0.325863084126,0.178941588026
81,3,5,0.337717715303,0.186192722632
82,3,5,0.35137670113,0.19462847153
83,3,5,0.366591725176,0.204130491334
84,3,5,0.383107666907,0.214575062089
85,3,5,0.400664569794,0.225832427567
86,3,5,0.419001175532,0.237767211104
87,3,5,0.437859172891,0.25023948683
88,3,5,0.456987392218,0.263106108193
89,3,5,0.476145381148,0.276221982337
90,3,5,0.49510604613,0.289441097537
91,3,5,0.513657265764,0.302617225452
92,3,5,0.53160253058,0.315604303476
93,3,5,0.548760729438,0.328256544087
94,3,5,0.564965201484,0.340428321927
95,3,5,0.580062133331,0.351973868838
96,3,5,0.593908331214,0.362746778128
97,3,5,0.606368355873,0.372599295405
98,3,5,0.61731098176,0.381381362841
99,3,5,0.626604932215,0.388939391071
100,3,5,0.634113845927,0.395114759584
101,3,5,0.639690446417,0.39974209411
102,3,5,0.643169920898,0.402647441537
103,3,5,0.644362582821,0.403646566893
104,3,5,0.643046023314,0.40254374496
105,3,5,0.638957199386,0.39913162788
106,3,5,0.631785335134,0.393193057995
107,3,5,0.621167227156,0.38450607408
108,3,5,0.606687664314,0.372853816335
109,3,5,0.587889280892,0.358041497363
