SEXES REUNIS
     Table de mortalité : année 1899

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

  70   74050    1721 0.02324 13.89   73190
  71   72329    1861 0.02573 13.21   71399
  72   70468    1944 0.02759 12.55   69496
  73   68524    2093 0.03055 11.89   67478
  74   66431    2245 0.03379 11.25   65309
  75   64186    2410 0.03754 10.62   62982
  76   61777    2558 0.04141 10.02   60498
  77   59219    2783 0.04699  9.43   57827
  78   56436    2920 0.05174  8.87   54976
  79   53516    3100 0.05792  8.33   51966
  80   50417    3308 0.06562  7.81   48762
  81   47108    3438 0.07299  7.32   45389
  82   43670    3473 0.07954  6.86   41933
  83   40197    3578 0.08901  6.41   38408
  84   36619    3627 0.09905  5.99   34805
  85   32992    3583 0.10861  5.59   31200
  86   29408    3508 0.11930  5.21   27654
  87   25900    3474 0.13415  4.85   24163
  88   22426    3293 0.14683  4.52   20779
  89   19133    3167 0.16554  4.21   17549
  90   15966    2852 0.17860  3.95   14540
  91   13114    2454 0.18716  3.70   11887
  92   10660    2230 0.20923  3.43    9545
  93    8429    1903 0.22572  3.21    7478
  94    6527    1639 0.25118  3.00    5707
  95    4887    1283 0.26242  2.84    4246
  96    3605    1018 0.28236  2.67    3096
  97    2587     736 0.28445  2.52    2219
  98    1851     592 0.31964  2.33    1555
  99    1259     413 0.32766  2.19    1053
 100     847     317 0.37452  2.01     688
 101     530     202 0.38052  1.92     429
 102     328     136 0.41328  1.79     260
 103     192      86 0.44573  1.70     150
 104     107      46 0.43400  1.66      84
 105      60                  1.55      46
 Total population stationnaire     7616601



               SEXES REUNIS
     Table de mortalité : année 1988

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000     791 0.00791 76.42   99605
   1   99209      69 0.00069 76.03   99175
   2   99140      40 0.00040 75.08   99121
   3   99101      32 0.00033 74.11   99085
   4   99068      26 0.00027 73.13   99055
   5   99042      25 0.00025 72.15   99030
   6   99017      21 0.00021 71.17   99007
   7   98997      19 0.00019 70.18   98987
   8   98978      20 0.00020 69.20   98968
   9   98958      19 0.00020 68.21   98948
  10   98938      17 0.00017 67.22   98930
  11   98922      19 0.00020 66.24   98912
  12   98902      21 0.00021 65.25   98892
  13   98881      23 0.00024 64.26   98870
  14   98858      24 0.00024 63.28   98846
  15   98834      36 0.00036 62.29   98816
  16   98798      48 0.00049 61.32   98774
  17   98750      61 0.00062 60.34   98720
  18   98689      81 0.00082 59.38   98649
  19   98608      89 0.00091 58.43   98563
  20   98519      93 0.00094 57.48   98472
  21   98426      98 0.00099 56.54   98377
  22   98328     102 0.00104 55.59   98277
  23   98226      97 0.00098 54.65   98178
  24   98130     101 0.00102 53.70   98079
  25   98029      98 0.00100 52.76   97980
  26   97931      97 0.00099 51.81   97882
  27   97834     100 0.00102 50.86   97784
  28   97734     103 0.00105 49.91   97683
  29   97631     103 0.00105 48.96   97580
  30   97529     109 0.00112 48.01   97474
  31   97420     109 0.00112 47.07   97365
  32   97311     120 0.00123 46.12   97251
  33   97191     127 0.00130 45.18   97128
  34   97065     134 0.00138 44.23   96998
  35   96931     144 0.00148 43.29   96859
  36   96787     154 0.00159 42.36   96710
  37   96633     164 0.00170 41.43   96551
  38   96469     162 0.00168 40.49   96388
  39   96307     183 0.00190 39.56   96215
  40   96124     193 0.00201 38.64   96027
  41   95930     212 0.00221 37.71   95824
  42   95718     240 0.00251 36.80   95598
  43   95478     260 0.00272 35.89   95348
  44   95218     288 0.00303 34.98   95074
  45   94930     305 0.00321 34.09   94777
  46   94625     310 0.00328 33.20   94470
  47   94314     348 0.00369 32.30   94140
  48   93966     377 0.00401 31.42   93778
  49   93590     406 0.00434 30.55   93387
  50   93184     454 0.00487 29.68   92957
  51   92730     496 0.00535 28.82   92482
  52   92234     527 0.00571 27.97   91971
  53   91708     580 0.00632 27.13   91418
  54   91128     620 0.00681 26.30   90818
  55   90507     665 0.00735 25.48   90175
  56   89842     717 0.00798 24.66   89484
  57   89126     788 0.00885 23.86   88731
  58   88337     822 0.00931 23.06   87926
  59   87515     860 0.00983 22.28   87085
  60   86655     940 0.01085 21.49   86185
  61   85715     988 0.01152 20.72   85221
  62   84727    1014 0.01196 19.96   84221
  63   83714    1089 0.01301 19.19   83169
  64   82625    1142 0.01382 18.44   82054
  65   81482    1207 0.01481 17.69   80879
  66   80276    1307 0.01628 16.95   79622
  67   78969    1356 0.01717 16.22   78291
  68   77613    1509 0.01945 15.50   76858
  69   76104    1516 0.01991 14.79   75346
  70   74588    1716 0.02300 14.08   73730
  71   72872    1829 0.02510 13.40   71958
  72   71043    1942 0.02733 12.74   70072
  73   69101    1979 0.02864 12.08   68112
  74   67122    2187 0.03258 11.42   66029
  75   64936    2371 0.03652 10.79   63750
  76   62564    2519 0.04026 10.18   61305
  77   60045    2686 0.04473  9.59   58702
  78   57359    2933 0.05114  9.01   55892
  79   54426    3018 0.05544  8.47   52917
  80   51408    3254 0.06330  7.94   49781
  81   48154    3362 0.06981  7.44   46473
  82   44792    3515 0.07848  6.96   43035
  83   41277    3569 0.08646  6.51   39493
  84   37708    3615 0.09588  6.08   35901
  85   34093    3661 0.10738  5.67   32262
  86   30432    3557 0.11690  5.30   28653
  87   26874    3479 0.12946  4.93   25135
  88   23395    3409 0.14569  4.59   21691
  89   19987    3148 0.15748  4.29   18413
  90   16839    2925 0.17372  3.99   15376
  91   13914    2673 0.19209  3.73   12577
  92   11241    2341 0.20822  3.50   10071
  93    8901    1963 0.22057  3.28    7919
  94    6937    1656 0.23864  3.07    6110
  95    5282    1354 0.25642  2.88    4605
  96    3927    1102 0.28056  2.70    3377
  97    2826     850 0.30076  2.56    2401
  98    1976     617 0.31230  2.44    1667
  99    1359     429 0.31604  2.32    1144
 100     929     328 0.35326  2.16     765
 101     601     213 0.35469  2.07     494
 102     388     139 0.35897  1.94     318
 103     249     121 0.48471  1.74     188
 104     128      53 0.41348  1.92     102
 105      75                  1.91      62
 Total population stationnaire     7642060



               SEXES REUNIS
     Table de mortalité : année 1989

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000     758 0.00758 76.57   99621
   1   99242      64 0.00065 76.15   99210
   2   99178      37 0.00037 75.20   99159
   3   99140      34 0.00035 74.23   99123
   4   99106      25 0.00025 73.25   99094
   5   99081      22 0.00023 72.27   99070
   6   99059      24 0.00024 71.29   99046
   7   99034      19 0.00019 70.31   99025
   8   99015      18 0.00018 69.32   99006
   9   98998      20 0.00020 68.33   98988
  10   98978      20 0.00020 67.35   98968
  11   98958      19 0.00019 66.36   98948
  12   98939      19 0.00019 65.37   98930
  13   98920      24 0.00025 64.38   98908
  14   98896      30 0.00030 63.40   98881
  15   98866      35 0.00036 62.42   98848
  16   98830      43 0.00043 61.44   98809
  17   98788      61 0.00062 60.47   98757
  18   98727      78 0.00079 59.50   98688
  19   98649      90 0.00091 58.55   98604
  20   98559      95 0.00096 57.60   98511
  21   98464     101 0.00103 56.66   98413
  22   98363     102 0.00104 55.72   98312
  23   98261     102 0.00104 54.77   98210
  24   98159     101 0.00103 53.83   98108
  25   98057     102 0.00104 52.88   98006
  26   97955     107 0.00109 51.94   97902
  27   97849     101 0.00103 51.00   97798
  28   97747     105 0.00107 50.05   97695
  29   97643     109 0.00111 49.10   97588
  30   97534     113 0.00116 48.16   97478
  31   97421     112 0.00115 47.21   97366
  32   97310     119 0.00122 46.26   97250
  33   97191     129 0.00133 45.32   97126
  34   97061     147 0.00151 44.38   96988
  35   96915     139 0.00144 43.45   96845
  36   96775     150 0.00155 42.51   96700
  37   96625     167 0.00173 41.57   96542
  38   96458     170 0.00176 40.64   96373
  39   96289     184 0.00191 39.71   96197
  40   96104     194 0.00202 38.79   96007
  41   95910     223 0.00233 37.87   95798
  42   95687     227 0.00238 36.95   95573
  43   95460     262 0.00275 36.04   95328
  44   95197     284 0.00299 35.14   95055
  45   94913     294 0.00310 34.24   94766
  46   94619     308 0.00326 33.35   94465
  47   94311     330 0.00350 32.46   94146
  48   93980     377 0.00401 31.57   93792
  49   93603     418 0.00446 30.69   93394
  50   93186     443 0.00475 29.83   92964
  51   92743     491 0.00529 28.97   92497
  52   92252     515 0.00558 28.12   91994
  53   91737     566 0.00617 27.27   91454
  54   91171     614 0.00673 26.44   90864
  55   90558     653 0.00721 25.62   90231
  56   89904     681 0.00758 24.80   89564
  57   89223     751 0.00841 23.98   88848
  58   88472     813 0.00919 23.18   88066
  59   87660     863 0.00985 22.39   87228
  60   86797     904 0.01042 21.61   86344
  61   85892     979 0.01140 20.83   85403
  62   84913    1015 0.01195 20.07   84405
  63   83898    1077 0.01283 19.31   83360
  64   82821    1177 0.01421 18.55   82233
  65   81644    1230 0.01506 17.81   81029
  66   80414    1266 0.01574 17.08   79781
  67   79149    1352 0.01708 16.34   78473
  68   77797    1425 0.01832 15.62   77084
  69   76372    1562 0.02045 14.90   75591
  70   74810    1636 0.02187 14.20   73992
  71   73174    1774 0.02424 13.50   72287
  72   71400    1869 0.02618 12.83   70466
  73   69531    2030 0.02920 12.16   68516
  74   67501    2098 0.03108 11.51   66452
  75   65403    2325 0.03555 10.86   64241
  76   63078    2480 0.03932 10.24   61838
  77   60598    2672 0.04410  9.64   59262
  78   57925    2796 0.04827  9.07   56527
  79   55129    3054 0.05540  8.50   53602
  80   52075    3174 0.06095  7.97   50488
  81   48901    3360 0.06871  7.45   47221
  82   45541    3517 0.07723  6.97   43783
  83   42024    3592 0.08547  6.51   40228
  84   38432    3662 0.09530  6.07   36601
  85   34770    3716 0.10688  5.66   32911
  86   31053    3633 0.11701  5.27   29236
  87   27420    3549 0.12944  4.91   25645
  88   23871    3448 0.14446  4.56   22146
  89   20422    3239 0.15860  4.25   18803
  90   17183    3062 0.17821  3.95   15652
  91   14121    2675 0.18945  3.70   12783
  92   11446    2382 0.20807  3.45   10255
  93    9064    2067 0.22803  3.22    8031
  94    6997    1693 0.24196  3.03    6151
  95    5304    1416 0.26689  2.84    4596
  96    3889    1113 0.28615  2.69    3332
  97    2776     803 0.28937  2.56    2374
  98    1973     620 0.31442  2.40    1663
  99    1352     441 0.32572  2.28    1132
 100     912     333 0.36499  2.13     745
 101     579     206 0.35498  2.07     476
 102     374     143 0.38350  1.94     302
 103     230     101 0.43763  1.84     180
 104     129      53 0.41056  1.87     103
 105      76                  1.83      62
 Total population stationnaire     7656992



               SEXES REUNIS
     Table de mortalité : année 1990

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000     739 0.00739 76.85   99631
   1   99261      60 0.00060 76.42   99231
   2   99201      40 0.00040 75.47   99181
   3   99161      29 0.00029 74.50   99147
   4   99133      24 0.00024 73.52   99121
   5   99109      20 0.00020 72.53   99099
   6   99089      20 0.00021 71.55   99079
   7   99069      17 0.00017 70.56   99060
   8   99052      17 0.00017 69.58   99043
   9   99035      18 0.00018 68.59   99026
  10   99017      19 0.00019 67.60   99008
  11   98998      17 0.00017 66.61   98989
  12   98981      19 0.00019 65.62   98971
  13   98962      18 0.00019 64.64   98953
  14   98943      24 0.00025 63.65   98931
  15   98919      37 0.00038 62.66   98900
  16   98882      42 0.00043 61.69   98861
  17   98839      60 0.00061 60.71   98809
  18   98779      78 0.00078 59.75   98740
  19   98702      87 0.00088 58.80   98658
  20   98615      88 0.00089 57.85   98571
  21   98527      99 0.00101 56.90   98478
  22   98428     100 0.00102 55.96   98378
  23   98328     100 0.00102 55.01   98278
  24   98228     100 0.00101 54.07   98178
  25   98128     101 0.00103 53.12   98078
  26   98028     106 0.00109 52.18   97974
  27   97921     109 0.00111 51.23   97867
  28   97813     104 0.00106 50.29   97761
  29   97709     114 0.00117 49.34   97652
  30   97595     113 0.00116 48.40   97538
  31   97482     124 0.00127 47.45   97420
  32   97358     118 0.00121 46.51   97299
  33   97240     132 0.00136 45.57   97174
  34   97108     140 0.00145 44.63   97038
  35   96968     144 0.00148 43.69   96896
  36   96824     158 0.00163 42.76   96745
  37   96666     161 0.00166 41.83   96586
  38   96506     187 0.00193 40.90   96412
  39   96319     180 0.00187 39.97   96229
  40   96139     200 0.00208 39.05   96039
  41   95939     211 0.00220 38.13   95833
  42   95728     231 0.00241 37.21   95613
  43   95497     252 0.00264 36.30   95371
  44   95245     277 0.00291 35.40   95107
  45   94968     298 0.00314 34.50   94819
  46   94671     323 0.00342 33.60   94509
  47   94347     340 0.00360 32.72   94177
  48   94007     357 0.00380 31.83   93829
  49   93650     378 0.00404 30.95   93461
  50   93272     431 0.00462 30.08   93057
  51   92841     455 0.00490 29.21   92614
  52   92386     503 0.00544 28.36   92135
  53   91883     544 0.00592 27.51   91611
  54   91340     580 0.00635 26.67   91049
  55   90759     649 0.00715 25.84   90435
  56   90111     668 0.00742 25.02   89776
  57   89442     703 0.00786 24.20   89091
  58   88739     781 0.00880 23.39   88349
  59   87958     834 0.00948 22.59   87541
  60   87124     883 0.01013 21.80   86682
  61   86241     941 0.01091 21.02   85770
  62   85300    1008 0.01182 20.25   84796
  63   84292    1072 0.01271 19.49   83756
  64   83220    1124 0.01351 18.73   82658
  65   82096    1160 0.01413 17.98   81516
  66   80936    1240 0.01532 17.23   80316
  67   79696    1320 0.01656 16.49   79036
  68   78376    1409 0.01797 15.76   77672
  69   76968    1477 0.01919 15.04   76229
  70   75491    1602 0.02122 14.32   74690
  71   73889    1749 0.02367 13.62   73014
  72   72140    1905 0.02641 12.94   71187
  73   70235    2017 0.02871 12.28   69226
  74   68218    2152 0.03155 11.63   67142
  75   66066    2240 0.03391 10.99   64945
  76   63825    2424 0.03797 10.36   62613
  77   61402    2631 0.04285  9.75   60086
  78   58771    2791 0.04749  9.16   57375
  79   55980    2959 0.05286  8.59   54500
  80   53021    3153 0.05946  8.04   51444
  81   49868    3356 0.06730  7.52   48190
  82   46512    3536 0.07603  7.03   44744
  83   42976    3617 0.08417  6.56   41167
  84   39359    3700 0.09400  6.12   37509
  85   35659    3670 0.10293  5.71   33824
  86   31988    3714 0.11610  5.30   30132
  87   28275    3618 0.12794  4.93   26466
  88   24657    3462 0.14039  4.58   22926
  89   21195    3338 0.15747  4.25   19527
  90   17858    3083 0.17264  3.95   16316
  91   14775    2815 0.19055  3.67   13367
  92   11959    2515 0.21030  3.42   10702
  93    9444    2168 0.22953  3.20    8360
  94    7277    1816 0.24959  3.00    6369
  95    5460    1430 0.26191  2.83    4745
  96    4030    1137 0.28222  2.66    3462
  97    2893     870 0.30079  2.50    2458
  98    2023     620 0.30675  2.37    1712
  99    1402     472 0.33659  2.19    1166
 100     930     351 0.37745  2.05     755
 101     579     226 0.39015  1.99     466
 102     353     144 0.40850  1.95     281
 103     209      80 0.38493  1.94     169
 104     128      56 0.43795  1.85     100
 105      72                  1.90      58
 Total population stationnaire     7685113



               SEXES REUNIS
     Table de mortalité : année 1991

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000     730 0.00730 77.04   99635
   1   99270      65 0.00066 76.60   99237
   2   99205      37 0.00038 75.65   99186
   3   99168      27 0.00027 74.68   99154
   4   99140      26 0.00026 73.70   99128
   5   99115      21 0.00021 72.72   99104
   6   99094      23 0.00023 71.73   99082
   7   99071      17 0.00017 70.75   99062
   8   99054      19 0.00019 69.76   99045
   9   99035      17 0.00017 68.78   99027
  10   99019      17 0.00017 67.79   99010
  11   99001      19 0.00019 66.80   98992
  12   98982      19 0.00020 65.81   98973
  13   98963      22 0.00023 64.82   98952
  14   98941      24 0.00024 63.84   98929
  15   98917      34 0.00035 62.85   98899
  16   98882      45 0.00045 61.88   98860
  17   98838      55 0.00055 60.90   98810
  18   98783      75 0.00076 59.94   98745
  19   98708      84 0.00085 58.98   98666
  20   98623      94 0.00096 58.03   98576
  21   98529      93 0.00094 57.09   98483
  22   98436     100 0.00101 56.14   98386
  23   98337     101 0.00102 55.20   98286
  24   98236     103 0.00105 54.25   98184
  25   98133     103 0.00105 53.31   98081
  26   98030     114 0.00116 52.37   97973
  27   97916     110 0.00112 51.43   97861
  28   97806     113 0.00115 50.48   97750
  29   97693     119 0.00122 49.54   97634
  30   97574     121 0.00123 48.60   97514
  31   97454     127 0.00130 47.66   97390
  32   97327     131 0.00135 46.72   97261
  33   97195     133 0.00137 45.78   97129
  34   97062     140 0.00144 44.85   96992
  35   96922     150 0.00155 43.91   96847
  36   96772     153 0.00158 42.98   96695
  37   96619     163 0.00169 42.04   96537
  38   96456     175 0.00181 41.12   96368
  39   96281     187 0.00194 40.19   96187
  40   96094     210 0.00219 39.27   95989
  41   95884     228 0.00237 38.35   95770
  42   95656     234 0.00244 37.44   95540
  43   95423     248 0.00260 36.53   95298
  44   95174     274 0.00288 35.63   95037
  45   94900     293 0.00308 34.73   94754
  46   94607     314 0.00332 33.83   94450
  47   94293     340 0.00360 32.94   94124
  48   93954     366 0.00390 32.06   93771
  49   93587     390 0.00417 31.18   93392
  50   93197     399 0.00428 30.31   92998
  51   92798     445 0.00480 29.44   92576
  52   92353     500 0.00541 28.58   92103
  53   91853     511 0.00556 27.73   91598
  54   91342     576 0.00630 26.89   91055
  55   90767     605 0.00667 26.05   90464
  56   90162     642 0.00712 25.22   89841
  57   89519     685 0.00765 24.40   89177
  58   88835     767 0.00863 23.59   88451
  59   88068     818 0.00929 22.79   87659
  60   87249     885 0.01015 22.00   86807
  61   86364     938 0.01086 21.22   85895
  62   85426    1004 0.01175 20.44   84924
  63   84422    1051 0.01245 19.68   83897
  64   83371    1117 0.01340 18.92   82813
  65   82254    1154 0.01403 18.17   81677
  66   81100    1244 0.01534 17.43   80478
  67   79856    1325 0.01660 16.69   79193
  68   78530    1406 0.01791 15.96   77827
  69   77124    1496 0.01940 15.24   76376
  70   75628    1591 0.02104 14.54   74832
  71   74036    1713 0.02313 13.84   73180
  72   72324    1806 0.02497 13.15   71421
  73   70518    1957 0.02776 12.48   69539
  74   68560    2102 0.03066 11.82   67509
  75   66458    2219 0.03339 11.18   65348
  76   64239    2318 0.03609 10.55   63080
  77   61921    2538 0.04099  9.92   60652
  78   59383    2774 0.04672  9.33   57996
  79   56608    2934 0.05183  8.76   55142
  80   53675    3110 0.05794  8.21   52120
  81   50564    3302 0.06531  7.68   48913
  82   47262    3420 0.07236  7.18   45552
  83   43842    3605 0.08222  6.71   42040
  84   40237    3651 0.09073  6.26   38412
  85   36587    3704 0.10123  5.84   34735
  86   32883    3667 0.11153  5.44   31050
  87   29216    3653 0.12503  5.06   27389
  88   25563    3498 0.13683  4.71   23814
  89   22065    3369 0.15269  4.38   20381
  90   18696    3123 0.16704  4.08   17135
  91   15573    2902 0.18634  3.79   14122
  92   12671    2547 0.20098  3.55   11398
  93   10124    2235 0.22071  3.31    9007
  94    7890    1839 0.23310  3.11    6970
  95    6051    1554 0.25690  2.90    5274
  96    4496    1230 0.27346  2.74    3882
  97    3267     965 0.29545  2.58    2784
  98    2302     719 0.31221  2.45    1942
  99    1583     519 0.32761  2.33    1324
 100    1064     352 0.33053  2.22     889
 101     713     260 0.36484  2.08     583
 102     453     163 0.36015  1.98     371
 103     290     114 0.39531  1.82     232
 104     175      85 0.48411  1.68     133
 105      90                  1.78      71
 Total population stationnaire     7703873



               SEXES REUNIS
     Table de mortalité : année 1992

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000     684 0.00684 77.31   99658
   1   99316      53 0.00054 76.84   99289
   2   99263      34 0.00034 75.88   99246
   3   99229      25 0.00025 74.91   99216
   4   99204      23 0.00023 73.93   99192
   5   99180      22 0.00022 72.94   99169
   6   99159      18 0.00018 71.96   99149
   7   99140      17 0.00017 70.97   99132
   8   99124      17 0.00017 69.98   99115
   9   99107      15 0.00015 69.00   99099
  10   99092      14 0.00015 68.01   99084
  11   99077      18 0.00018 67.02   99068
  12   99059      16 0.00016 66.03   99051
  13   99043      20 0.00021 65.04   99033
  14   99023      25 0.00025 64.05   99010
  15   98997      31 0.00031 63.07   98982
  16   98966      40 0.00040 62.09   98946
  17   98927      55 0.00055 61.11   98899
  18   98872      77 0.00078 60.15   98833
  19   98795      80 0.00081 59.19   98755
  20   98715      82 0.00083 58.24   98674
  21   98633      92 0.00093 57.29   98587
  22   98541      96 0.00097 56.34   98494
  23   98446      97 0.00099 55.40   98397
  24   98348      97 0.00098 54.45   98300
  25   98252     103 0.00104 53.50   98200
  26   98149     103 0.00105 52.56   98098
  27   98046     107 0.00109 51.61   97993
  28   97940     120 0.00122 50.67   97880
  29   97820     115 0.00117 49.73   97762
  30   97705     126 0.00129 48.79   97642
  31   97579     132 0.00135 47.85   97513
  32   97447     131 0.00134 46.91   97382
  33   97316     139 0.00143 45.98   97247
  34   97177     143 0.00147 45.04   97106
  35   97034     162 0.00167 44.11   96953
  36   96872     160 0.00166 43.18   96791
  37   96711     166 0.00172 42.25   96628
  38   96545     173 0.00179 41.32   96459
  39   96373     196 0.00203 40.40   96275
  40   96177     204 0.00212 39.48   96075
  41   95973     214 0.00223 38.56   95867
  42   95760     225 0.00235 37.65   95647
  43   95535     256 0.00268 36.73   95407
  44   95279     277 0.00291 35.83   95140
  45   95002     291 0.00306 34.93   94856
  46   94711     312 0.00329 34.04   94555
  47   94399     342 0.00362 33.15   94228
  48   94057     367 0.00390 32.27   93873
  49   93690     390 0.00416 31.39   93495
  50   93300     415 0.00445 30.52   93092
  51   92885     432 0.00465 29.66   92669
  52   92453     468 0.00506 28.79   92219
  53   91985     519 0.00564 27.94   91726
  54   91466     562 0.00614 27.09   91185
  55   90904     598 0.00657 26.26   90606
  56   90307     633 0.00701 25.43   89990
  57   89674     684 0.00763 24.60   89332
  58   88990     741 0.00833 23.79   88619
  59   88248     785 0.00890 22.98   87856
  60   87463     853 0.00975 22.19   87037
  61   86610     928 0.01071 21.40   86146
  62   85682     967 0.01129 20.63   85199
  63   84715    1030 0.01215 19.85   84201
  64   83686    1102 0.01316 19.09   83135
  65   82584    1167 0.01413 18.34   82001
  66   81417    1242 0.01525 17.60   80796
  67   80175    1304 0.01627 16.86   79523
  68   78871    1416 0.01796 16.13   78163
  69   77455    1433 0.01850 15.42   76738
  70   76022    1595 0.02098 14.70   75224
  71   74427    1649 0.02216 14.00   73602
  72   72778    1829 0.02513 13.31   71863
  73   70949    1933 0.02725 12.64   69982
  74   69016    2112 0.03060 11.98   67960
  75   66904    2209 0.03302 11.34   65799
  76   64694    2378 0.03675 10.71   63506
  77   62317    2455 0.03939 10.10   61090
  78   59862    2655 0.04436  9.50   58535
  79   57207    2845 0.04974  8.91   55784
  80   54361    3049 0.05608  8.35   52837
  81   51313    3182 0.06201  7.82   49722
  82   48131    3409 0.07083  7.30   46426
  83   44722    3533 0.07900  6.82   42956
  84   41189    3690 0.08958  6.37   39344
  85   37500    3646 0.09724  5.94   35676
  86   33853    3700 0.10930  5.53   32003
  87   30153    3637 0.12062  5.15   28335
  88   26516    3545 0.13370  4.78   24743
  89   22971    3448 0.15010  4.44   21247
  90   19523    3183 0.16304  4.14   17931
  91   16340    2905 0.17777  3.85   14887
  92   13435    2648 0.19708  3.57   12111
  93   10787    2385 0.22114  3.33    9595
  94    8402    1963 0.23358  3.13    7421
  95    6439    1639 0.25450  2.93    5620
  96    4800    1299 0.27051  2.76    4151
  97    3502     998 0.28490  2.60    3003
  98    2504     743 0.29664  2.44    2133
  99    1761     581 0.32970  2.26    1471
 100    1181     425 0.36013  2.13     968
 101     755     283 0.37458  2.04     614
 102     472     183 0.38788  1.96     381
 103     289     111 0.38408  1.89     234
 104     178      77 0.43049  1.76     140
 105     101                  1.70      78
 Total population stationnaire     7731150



               SEXES REUNIS
     Table de mortalité : année 1993

  x    Sx   D(x,x+a)   aQx    Ex  P(x,x+a)

   0  100000     646 0.00646 77.38   99677
   1   99354      55 0.00056 76.88   99326
   2   99299      30 0.00030 75.92   99284
   3   99269      26 0.00027 74.94   99255
   4   99242      22 0.00022 73.96   99231
   5   99220      20 0.00020 72.98   99210
   6   99200      15 0.00015 71.99   99193
   7   99185      16 0.00016 71.00   99177
   8   99169      20 0.00020 70.02   99159
   9   99149      16 0.00016 69.03   99141
  10   99134      17 0.00017 68.04   99125
  11   99117      17 0.00017 67.05   99108
  12   99099      17 0.00017 66.06   99091
  13   99083      18 0.00019 65.08   99073
  14   99064      24 0.00024 64.09   99052
  15   99040      34 0.00034 63.10   99023
  16   99007      46 0.00046 62.12   98984
  17   98961      55 0.00056 61.15   98933
  18   98905      70 0.00071 60.19   98870
  19   98835      82 0.00083 59.23   98794
  20   98753      88 0.00089 58.28   98709
  21   98665      96 0.00097 57.33   98617
  22   98570      95 0.00097 56.38   98522
  23   98474      87 0.00089 55.44   98430
  24   98387      93 0.00094 54.49   98341
  25   98294      94 0.00096 53.54   98247
  26   98200     100 0.00102 52.59   98150
  27   98100     104 0.00106 51.64   98048
  28   97996     114 0.00117 50.70   97939
  29   97882     125 0.00127 49.75   97820
  30   97757     124 0.00127 48.82   97695
  31   97633     129 0.00132 47.88   97569
  32   97504     133 0.00136 46.94   97438
  33   97371     139 0.00143 46.00   97302
  34   97232     143 0.00148 45.07   97160
  35   97089     155 0.00159 44.14   97011
  36   96934     167 0.00172 43.21   96851
  37   96767     162 0.00167 42.28   96686
  38   96606     183 0.00190 41.35   96514
  39   96423     189 0.00196 40.43   96328
  40   96234     205 0.00213 39.50   96131
  41   96028     222 0.00231 38.59   95917
  42   95806     235 0.00245 37.68   95689
  43   95571     266 0.00278 36.77   95439
  44   95306     267 0.00280 35.87   95172
  45   95039     281 0.00296 34.97   94899
  46   94758     310 0.00327 34.07   94603
  47   94448     344 0.00364 33.18   94276
  48   94104     375 0.00398 32.30   93917
  49   93730     395 0.00421 31.43   93532
  50   93335     397 0.00425 30.56   93137
  51   92938     447 0.00481 29.69   92715
  52   92491     463 0.00501 28.83   92259
  53   92028     497 0.00540 27.97   91779
  54   91530     549 0.00599 27.12   91256
  55   90982     599 0.00659 26.28   90682
  56   90382     638 0.00705 25.45   90064
  57   89745     679 0.00757 24.63   89405
  58   89066     729 0.00819 23.81   88701
  59   88336     785 0.00888 23.00   87944
  60   87552     862 0.00984 22.21   87121
  61   86690     908 0.01047 21.42   86236
  62   85782     961 0.01121 20.64   85301
  63   84821    1032 0.01217 19.87   84305
  64   83789    1106 0.01320 19.11   83236
  65   82683    1150 0.01390 18.36   82108
  66   81533    1223 0.01500 17.61   80922
  67   80310    1297 0.01615 16.87   79662
  68   79014    1396 0.01767 16.14   78316
  69   77618    1473 0.01898 15.42   76881
  70   76144    1583 0.02079 14.71   75353
  71   74561    1647 0.02209 14.01   73738
  72   72914    1769 0.02427 13.32   72030
  73   71145    1888 0.02654 12.64   70201
  74   69257    2070 0.02989 11.97   68222
  75   67187    2203 0.03279 11.32   66085
  76   64984    2322 0.03573 10.69   63823
  77   62662    2524 0.04028 10.06   61400
  78   60138    2622 0.04360  9.47   58827
  79   57516    2850 0.04956  8.87   56090
  80   54665    3081 0.05636  8.31   53125
  81   51584    3263 0.06325  7.78   49953
  82   48321    3373 0.06981  7.27   46635
  83   44948    3579 0.07962  6.78   43159
  84   41369    3688 0.08916  6.32   39525
  85   37681    3748 0.09946  5.89   35807
  86   33933    3797 0.11191  5.49   32035
  87   30136    3690 0.12243  5.11   28291
  88   26446    3567 0.13488  4.76   24663
  89   22879    3472 0.15174  4.42   21143
  90   19407    3146 0.16212  4.12   17834
  91   16261    2920 0.17960  3.82   14801
  92   13341    2663 0.19961  3.55   12009
  93   10678    2317 0.21702  3.31    9519
  94    8360    2006 0.23989  3.09    7358
  95    6355    1607 0.25284  2.91    5552
  96    4748    1265 0.26643  2.72    4116
  97    3483    1055 0.30290  2.53    2956
  98    2428     751 0.30938  2.41    2052
  99    1677     529 0.31561  2.27    1412
 100    1148     399 0.34792  2.09     948
